;title;doi;abstract;url;publish_time;respuesta;score
10;Factors affecting women entrepreneurs’ success: a study of small- and medium-sized enterprises in emerging market of Pakistan;10.1186/s13731-021-00145-9;In the present era, women are recognized as successful entrepreneurs through their strong desire, qualities, and capabilities for robust economic development. Due to such an important contribution of women in economic development, we propose to investigate the factors which affect women entrepreneur’s success in Pakistan. Data were collected through structured questionnaires from 181 registered SMEs operating in Pakistan. A conceptual model is developed, while SPSS and AMOS software’s are used for analysis. The results indicate that the internal factors including the need for achievements, risk-taking, and self-confidence and external factors including economic factors and socio-cultural factors have a positive and significant influence on the success of women-owned enterprises. This research recommends Small and Medium Enterprises Development Authority (SMEDA), policymakers, and practitioners to encourage women entrepreneurs to run their businesses for the long term by providing a variety of incentives and supports related to those internal and external factors. Numerous studies have been conducted to test the different factors’ effects on women’s entrepreneurial success, but our study investigated some psychological, cultural, and religious factors that are still almost untouched especially in Pakistan. The current study also contributes to the existing literature through empirical shreds of evidence.;"https://www.ncbi.nlm.nih.gov/pubmed/33686362/; https://doi.org/10.1186/s13731-021-00145-9";03/03/2021;Small and Medium Enterprises Development Authority;0.901
11;Sialylation of host proteins as targetable risk factor for COVID‐19 susceptibility and spreading: A hypothesis;10.1096/fba.2020-00073;Individuals infected with the severe acute respiratory syndrome (SARS)‐related coronavirus 2 (SARS‐CoV‐2) develop a critical and even fatal disease, called Coronavirus disease‐19 (COVID‐19), that eventually evolves into acute respiratory distress syndrome. The gravity of the SARS‐CoV‐2 pandemic, the escalating number of confirmed cases around the world, the many unknowns related to the virus mode of action, and the heterogenous outcome of COVID‐19 disease in the population ask for the rapid development of alternative approaches, including repurposing of existing drugs, that may dampen virus infectivity. SARS‐CoV‐2 infects human cells through interaction with sialylated receptors at the surface of epithelial cells, such as angiotensin‐converting enzyme 2 (ACE2). Glycan composition on virus entry receptors has been shown to influence the rate of infection of SARS‐CoV‐2 and spreading of virions has recently been linked to altered lysosomal exocytosis. These processes could concurrently involve the lysosomal system and its glycosidases. We hypothesize that modulating the activity of one of them, the lysosomal sialidase NEU1, could impinge on both the sialylation status of ACE2 and other host receptors as well as the extent of lysosomal exocytosis. Thus NEU1‐controlled pathways may represent therapeutic targets, which could impact on SARS‐CoV‐2 susceptibility, infectivity, and spread.;"https://doi.org/10.1096/fba.2020-00073; https://www.ncbi.nlm.nih.gov/pubmed/33733058/";13/01/2021;Coronavirus disease‐19;0.9863
12;Practical and Ethical Concerns in Implementing Enhanced Surveillance Methods to Improve Continuity of HIV Care: Qualitative Expert Stakeholder Study;10.2196/19891;BACKGROUND: Retention in HIV care is critical to maintaining viral suppression and preventing further transmission, yet less than 50% of people living with HIV in the United States are engaged in care. All US states have a funding mandate to implement Data-to-Care (D2C) programs, which use surveillance data (eg, laboratory, Medicaid billing) to identify out-of-care HIV-positive persons and relink them to treatment. OBJECTIVE: The purpose of this qualitative study was to identify and describe practical and ethical considerations that arise in planning for and implementing D2C. METHODS: Via purposive sampling, we recruited 43 expert stakeholders—including ethicists, privacy experts, researchers, public health personnel, HIV medical providers, legal experts, and community advocates—to participate in audio-recorded semistructured interviews to share their perspectives on D2C. Interview transcripts were analyzed across a priori and inductively derived thematic categories. RESULTS: Stakeholders reported practical and ethical concerns in seven key domains: permission and consent, government assistance versus overreach, privacy and confidentiality, stigma, HIV exceptionalism, criminalization, and data integrity and sharing. CONCLUSIONS: Participants expressed a great deal of support for D2C, yet also stressed the role of public trust and transparency in addressing the practical and ethical concerns they identified.;"https://doi.org/10.2196/19891; https://www.ncbi.nlm.nih.gov/pubmed/32886069/";04/09/2020;Retention in HIV care;0.9605
13;Psychometric characteristics of the of COVID Stress Scales-Arabic version (CSS-Arabic) in Egyptian and Saudi university students;10.1186/s43045-021-00095-8;BACKGROUND: Mental health sufferings due to the COVID-19 pandemic were reported in many countries worldwide. However, there is a lack of a validated Arabic tool to measure stress related to this pandemic in the Arab countries. This study aims to translate into Arabic and measure the psychometric characteristics of the previously developed English COVID Stress Scales (CSS). Using a forward-backward translation, the CSS was translated into Arabic and 22 jurors assessed its content validity. An online-based survey was carried out among 1080 university students (Egyptian and Saudi) to assess internal consistency and validity of the Arabic version (CSS-Arabic) using Cronbach’s α and factor analysis. RESULTS: The content validity indices of the scale were 0.943 and 0.932 for both relevance and clarity. The internal consistency of the total CSS-Arabic was satisfactory (with α = 0.94) within the acceptable range for different subscales. Confirmatory factor analysis reveals 5-factor model with 36 retained items similar to the original English CSS. CONCLUSIONS: CSS-Arabic is a reliable and valid self-reporting tool for screening of stress due to COVID-19 among the university students. Further work should be done by healthcare providers to assess the magnitude of the stress during the COVID-19 pandemic. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s43045-021-00095-8.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7938384/;08/03/2021;Mental health sufferings;0.9579
14;Oral nano-curcumin formulation efficacy in management of mild to moderate hospitalized coronavirus disease-19 patients: An open label nonrandomized clinical trial.;10.1002/ptr.7004;Curcumin is proposed as a potential treatment option for coronavirus disease-19 (COVID-19) by inhibiting the virus entrance, encapsulation and replication, and modulating various cellular signaling pathways. In this open-label nonrandomized clinical trial, efficacy of nano-curcumin oral formulation has been evaluated in hospitalized patients with mild-moderate COVID-19. Forty-one patients who fulfilled the inclusion criteria were allocated to nano-curcumin (n = 21) group (Sinacurcumin soft gel, contains 40 mg curcuminoids as nanomicelles, two capsules twice a day) or control (n = 20) group, for 2 weeks. Patients' symptoms and laboratory data were assessed at baseline and during follow-up period. Most of symptoms including fever and chills, tachypnea, myalgia, and cough resolved significantly faster in curcumin group. Moreover, SaO2 was significantly higher in treatment group after 2, 4, 7, and 14 days of follow-up and lymphocyte count after 7 and 14 days. Duration of supplemental O2 use and hospitalization was also meaningfully shorter in treatment group. It is also noteworthy to mention that no patient in treatment group experienced deterioration of infection during follow-up period, but it occurred in 40% of control group. Oral curcumin nano-formulation can significantly improve recovery time in hospitalized COVID-19 patients. Further randomized placebo controlled trials with larger sample size are recommended.;"https://doi.org/10.1002/ptr.7004; https://www.ncbi.nlm.nih.gov/pubmed/33389761/";03/01/2021;coronavirus disease-19;0.9516
15;Patients of COVID-19 may benefit from sustained Lopinavir-combined regimen and the increase of Eosinophil may predict the outcome of COVID-19 progression;10.1016/j.ijid.2020.03.013;"OBJECTIVES: To explore the epidemiological information, clinical characteristics, therapeutic outcomes and temporal progression of laboratory findings in 2019-coronavirus disease (COVID-19) patients exposed to lopinavir. METHODS: We collected data from ten COVID-19 patients admitted between January 22, 2020 and February 11, 2020 at Xixi hospital in Hangzhou, China. RESULTS: Of ten patients, secondary, tertiary and quartus patients emerged; the incubation period was 3–7 days. Mainly initial symptoms were cough and low fever (37.3–38.0 °C). An asymptomatic case presented normal radiography, the others had ground glass opacities. All cases (three transferred, seven discharged) were exposed to lopinavir on initial hospitalization. Three patients stopped lopinavir because of adverse effects, two of them deteriorated, one was hospitalized longer than others who with sustained lopinavir use. Levels of potassium, albumin, and lymphocytes were low, but increased persistently after treatment. Eosinophil values were low on initial hospitalization, then all returned to normal before discharge. Viral load of SARS-CoV-2, radiography and eosinophil improved continuously in 3–14, 6–8 and 7–9 days, respectively. CONCLUSIONS: Increasing eosinophils may be an indicator of COVID-19 improvement. The COVID-19 patients may benefit from sustained lopinavir use. More research on a larger scale is needed to verify these points.";"https://www.sciencedirect.com/science/article/pii/S1201971220301326?v=s5; https://api.elsevier.com/content/article/pii/S1201971220301326; https://doi.org/10.1016/j.ijid.2020.03.013; https://www.ncbi.nlm.nih.gov/pubmed/32173576/";12/03/2020;coronavirus disease;0.9417
16;Characterizing and Forecasting Emergency Department Visits Related to COVID-19 Using Chief Complaints and Discharge Diagnoses;10.1101/2020.06.01.20116772;In response to the unprecedented public health challenge posed by the SARS CoV-2 virus (COVID-19) in the United States, we and our colleagues at the Johns Hopkins University Applied Physics Laboratory (JHU/APL) have developed a model of COVID-19 progression using emergency department (ED) visit data from the National Capital Region (NCR). We obtained ED visits counts through targeted queries of the NCR Electronic Surveillance System for the Early Notification of Community-Based Epidemics (ESSENCE). To focus on ED visits by COVID-19 patients, we adjusted the query results for typical ED visit volumes and for reductions in ED volumes due to COVID-19 precautions. With these ED visit data, we fitted a logistic growth model to characterize and forecast the increase in cumulative COVID-19 ED visits. Our model achieves the best fit when we assume that the first NCR visit occurred in early January. We estimate that approximately 15,000 COVID-19 ED visits occurred prior to May 2020 and that approximately 17,000 more visits will occur in subsequent months. We plan to deploy an operational pilot of this model in the NCR ESSENCE environment, assisting local public health authorities as they brace for a second wave of COVID-19. Additionally, we will iteratively assess potential model refinements, aiming to maximize the relevance of our model for the situational awareness and decision-making of local public health authorities.;"http://medrxiv.org/cgi/content/short/2020.06.01.20116772v1?rss=1; https://doi.org/10.1101/2020.06.01.20116772";03/06/2020;SARS CoV-2 virus;0.9457
17;Prenatal Alcohol Exposure in Rats Diminishes Postnatal Cxcl16 Chemokine Ligand Brain Expression;10.3390/brainsci10120987;Maternal ethanol consumption during pregnancy is one of the main causes of Neurodevelopmental disorders (NDD). Prenatal alcohol exposure (PAE) produces several adverse manifestations. Even low or moderate intake has been associated with long-lasting behavioral and cognitive impairment in offspring. In this study we examined the gene expression profile in the rat nucleus accumbens using microarrays, comparing animals exposed prenatally to ethanol and controls. Microarray gene expression showed an overall downward regulatory effect of PAE. Gene cluster analysis reveals that the gene groups most affected are related to transcription regulation, transcription factors and homeobox genes. We focus on the expression of the C-X-C motif chemokine ligand 16 (Cxcl16) which was differentially expressed. There is a significant reduction in the expression of this chemokine throughout the brain under PAE conditions, evidenced here by quantitative polymerase chain reaction qPCR and immunohistochemistry. Chemokines are involved in neuroprotection and implicated in alcohol-induced brain damage and neuroinflammation in the developing central nervous system (CNS), therefore, the significance of the overall decrease in Cxcl16 expression in the brain as a consequence of PAE may reflect a reduced ability in neuroprotection against subsequent conditions, such as excitotoxic damage, inflammatory processes or even hypoxic-ischemic insult.;"https://www.ncbi.nlm.nih.gov/pubmed/33333834/; https://doi.org/10.3390/brainsci10120987";15/12/2020;Neurodevelopmental disorders;0.9922
18;Self-assembled raccoon dog parvovirus VP2 protein confers immunity against RDPV disease in raccoon dogs: in vitro and in vivo studies;10.1186/s12985-021-01549-5;BACKGROUND: Raccoon dog parvovirus (RDPV) causes acute infectious diseases in raccoon dogs and may cause death in severe cases. The current treatment strategy relies on the extensive usage of classical inactivated vaccine which is marred by large doses, short immunization cycles and safety concerns. METHODS: The present study aimed at optimization of RDPV VP2 gene, subcloning the gene into plasmid pET30a, and its subsequent transfer to Escherichia coli with trigger factor 16 for co-expression. The protein thus expressed was purified with ammonium sulfate precipitation, hydrophobic chromatography, and endotoxin extraction procedures. VLPs were examined by transmission electron microscopy, dynamic light scattering, and the efficacy of VLPs vaccine was tested in vivo. RESULTS: Results indicated that RDPV VP2 protein could be expressed soluble. Transmission electron microscopy and dynamic light scattering results indicated that RDPV VP2 self-assembled into VLPs. Hemagglutination inhibition antibody titers elicited by Al(OH)(3) adjuvanted RDPV VLPs were comparable with RDPV inactivated vaccines, and the viral loads in the blood of the struck raccoon dogs were greatly reduced. Hematoxylin and eosin and Immunohistochemical results indicated that RDPV VLPs vaccine could protect raccoon dogs against RDPV infections. CONCLUSIONS: These results suggest that RDPV VLPs can become a potential vaccine candidate for RDPV therapy.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8047598/;15/04/2021;Raccoon dog parvovirus;0.9129
19;Recent Advances in Discovery of Potent Proteases Inhibitors Targeting the SARS Coronaviruses.;10.2174/1568026620999201111160035;Across the globe, countries are being challenged by the SARS-CoV-2 (COVID-19) pandemic in ways they have never been before. Global outbreak of SARS-CoV-2 with an uncertain fatality rate has imposed extreme challenges on global health. The World Health Organization (WHO) has officially declared the outbreak of COVID-19 a pandemic, after the disease caused by the new coronavirus spread to more than 100 countries. To date, various therapeutic approaches has been proposed and are being implemented to combat this pandemic, but unfortunately, no sovereign remedy has been es-tablished yet. Protease enzymes are important targets to develop therapies for the treatment of infections caused by SARS coronaviruses. In this review, an overview is given on recent advances in discovery of potent protease inhibitors targeting the SARS coronaviruses. Different classes of natural product inhibitors targeting protease enzymes of SARS coronaviruses have been studied in detail along with their structure activity relationship analysis. This study emphasized on important covalent and non-covalent small molecule inhibitors which effectively inhibited chymotrypsin-like cysteine protease (3CLpro) and papain-like protease (PLpro) of two SARS coronaviruses i.e. SARS-CoV-1 and SARS-CoV-2. Repurposing of drugs has been also outlined in this study to understand their roles as quick-to-be-identified therapy to combat these zoonotic coronaviruses.;"https://doi.org/10.2174/1568026620999201111160035; https://www.ncbi.nlm.nih.gov/pubmed/33183205/";11/11/2020;SARS-CoV-2;0.9666
20;Infections after hematopoietic cell transplantation are not a burden for mortality at a limited-resource center in a developing country.;10.1111/tid.13414;BACKGROUND Hematopoietic cell transplantation (HCT) outcomes, including infectious complications, change between centers and countries. Thus, the aim of this study was to report the incidence of infections and isolated pathogens among recipients of HCT and the association with mortality at a tertiary referral center in Mexico. METHODS Two hundred and eighty-two patients undergoing autologous or allogeneic HCT between January 2005 and December 2018 at the National Institute of Medical Sciences and Nutricion Salvador Zubiran, were included. RESULTS In autologous HCT (n=176), within the preengraftment and the early postengraftment, 130 (74%) and 31 (18%) recipients presented infections, respectively. Within the preengraftment, the early postengraftment, and the late postengraftment, 81 (76%), 34 (33%), and 58 (60%) allogeneic HCT recipients presented infections, respectively. Non-relapse mortality (NRM) as a result of infections occurred in 1 (0.6%) and 5 (5%) autologous and allogeneic HCT recipients, respectively. CONCLUSIONS Our results demonstrated that despite our limited resources, infections were not a significant burden for NRM among HCT recipients. More importantly, the isolation rates were higher than international studies, which could be explained by the existence of a specialized infectious diseases department and laboratory, which we consider key elements for the establishment of an HCT program worldwide.;"https://doi.org/10.1111/tid.13414; https://www.ncbi.nlm.nih.gov/pubmed/32668082/";15/07/2020;Hematopoietic cell transplantation;0.9083
21;Digital image processing: a useful tool in the analysis of lung injuries caused by chronic inhalation of agricultural herbicides;10.1007/s11356-021-14692-x;"The herbicide 2,4-dichlorophenoxyacetic acid (2,4-D) is widely used in agriculture to control various weeds. The objective of this study was to use the digital image processing method to identify alveolar lesions in the lungs of rats submitted to chronic 2,4-dichlorophenoxyacetic acid (2,4-D) inhalation exposure. We used forty adult male Wistar rats. The rats were divided into four groups: control group (CG), low concentration group (LCG), medium concentration group (MCG), and high concentration group (HCG). In a 6-month exposure period, we used two boxes connected to ultrasonic nebulizers for herbicide spraying. After this period, the rats were euthanized for the collection and study of lung tissue. For each image, counts of injuries and blisters were performed automatically using a methodology based on digital image processing techniques. For analysis of the results, an electronic database (Excel®) was created. We used the Pearson method for correlation analysis; values of p <0.05 were considered significant. In the evaluation of healthy alveoli, we recorded positive and significant correlations between analysis from a pathologist and computational analysis. In the evaluation of injured alveoli, we recorded a positive but non-significant correlation between analysis from a pathologist and computational analysis. These results show the effectiveness of digital image processing when evaluating alveolar integrity.";"https://www.ncbi.nlm.nih.gov/pubmed/34097223/; https://doi.org/10.1007/s11356-021-14692-x";07/06/2021;high concentration group;0.9632
