;title;doi;abstract;url;publish_time;respuesta;score
23;Looking out for yourself and those around you.;10.1136/vr.m1357;The coronavirus outbreak is having a profound impact on society, including the veterinary industry. As we meet the challenges the outbreak poses, Rosie Allister, Vetlife Helpline Manager, reminds us to look after ourselves and those around us.;"https://doi.org/10.1136/vr.m1357; https://www.ncbi.nlm.nih.gov/pubmed/32245876/";4/4/2020;Vetlife Helpline Manager;0.9431
24;Characteristics and Disease Severity of US Children and Adolescents Diagnosed With COVID-19;10.1001/jamanetworkopen.2021.5298;This cohort study uses data from the Premier Healthcare Database Special COVID-19 Release to assess the association of demographic and clinical characteristics with severe COVID-19 illness among hospitalized US pediatric patients with COVID-19.;"https://www.ncbi.nlm.nih.gov/pubmed/33835179/; https://doi.org/10.1001/jamanetworkopen.2021.5298";9/4/2021;Premier Healthcare Database;0.9111
25;A case report of COVID‐19 in an asymptomatic patient with newly diagnosed breast cancer;10.1002/ccr3.3532;COVID‐19 can be especially dangerous in vulnerable populations such as those with cancer undergoing treatment. When it is discovered in an asymptomatic patient through imaging, there is a paucity of evidence‐based treatment recommendations.;"https://www.ncbi.nlm.nih.gov/pubmed/34136222/; https://doi.org/10.1002/ccr3.3532";9/6/2021;19;0.9305
26;Identification of COVID-19 can be quicker through artificial intelligence framework using a mobile phone–based survey when cities and towns are under quarantine;10.1017/ice.2020.61;We propose the use of a machine learning algorithm to improve possible COVID-19 case identification more quickly using a mobile phone–based web survey. This method could reduce the spread of the virus in susceptible populations under quarantine.;"https://doi.org/10.1017/ice.2020.61; https://www.ncbi.nlm.nih.gov/pubmed/32122430/";4/3/2020;case identification;0.9662
27;Infection prevention and control practices for emergency surgery during the COVID-19 pandemic in a tertiary care hospital in South Korea;10.1016/j.ijso.2020.10.007;• Proper risk assessment for COVID-19 should be implemented. • Appropriate infection prevention practices for perioperative management are important. -Hospitals should organize dedicated protocols considering its facilities and human resources.;"https://api.elsevier.com/content/article/pii/S2405857220300887; https://www.sciencedirect.com/science/article/pii/S2405857220300887?v=s5";24/10/2020;Proper risk assessment;0.98
28;ACEi reduces hypertension-induced hyperinflammation in COVID-19;10.1038/s41569-021-00512-9;Antihypertensive therapy, particularly with the use of an angiotensin-converting enzyme inhibitor, improves outcomes in patients with hypertension and SARS-CoV-2 infection, who are susceptible to hyperinflammation and severe outcomes with COVID-19.;"https://www.ncbi.nlm.nih.gov/pubmed/33462417/; https://doi.org/10.1038/s41569-021-00512-9";18/1/2021;Antihypertensive therapy;0.9133
29;9 vragen over vaccineren;10.1007/s41193-020-0150-9;Vaccinatie fascineert. In deze coronatijd uiteraard meer dan ooit, maar ook de jaarlijkse griepprik is altijd onderwerp van fikse discussies. In dit artikel 9 vragen en antwoorden over het immuunsysteem en de rol die vaccinatie speelt bij preventie.;"https://www.ncbi.nlm.nih.gov/pubmed/33192164/; https://doi.org/10.1007/s41193-020-0150-9";6/11/2020;Vaccinatie fascineert;0.9511
30;Assessment of Feasibility of Face Covering in School-Aged Children With Autism Spectrum Disorders and Attention-Deficit/Hyperactivity Disorder;10.1001/jamanetworkopen.2021.10281;This cohort study reports the outcomes of using positive behavior supports to promote masking in school-aged children with autism spectrum disorders (ASD) and/or attention-deficit/hyperactivity disorder (ADHD) attending a summer day treatment program.;"https://www.ncbi.nlm.nih.gov/pubmed/33999167/; https://doi.org/10.1001/jamanetworkopen.2021.10281";17/5/2021;autism spectrum disorders;0.9622
31;COVID‐19 and influenza H1N1: A dangerous combination for Pakistan in the upcoming winter season;10.1002/jmv.26687;Recent articles have highlighted the impact of infectious diseases, and coronavirus disease (COVID-19) 1-3 in a developing country Pakistan,4-6 and their drastic outcomes are still going on. This article is protected by  . All rights reserved.;"https://doi.org/10.1002/jmv.26687; https://www.ncbi.nlm.nih.gov/pubmed/33230888/";17/12/2020;coronavirus disease;0.9845
32;Fatal invasive pulmonary aspergillosis in an immunocompetent patient with COVID‐19 due to Aspergillus terreus: A case study;10.1002/ccr3.4051;Case reports of CAPA emerged. In most of the reports, the predominant species is Aspergillus fumigatus. Uncommon species are less reported. Due to poor clinical outcome with Aspergillus terreus, the increasing reports with this agent require attention.;"https://www.ncbi.nlm.nih.gov/pubmed/33936706/; https://doi.org/10.1002/ccr3.4051";16/3/2021;Case reports;0.9595
33;Introduction to Sustainable Consumption and Production Challenges and Development;10.1007/978-3-030-56371-4_1;The sustainable consumption and production (SCP) agenda has been a hypernym for various efforts and approaches to address the growing concerns on bio-diversity loss, resource availability, climate change, and mounting waste problems on land and in seas.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7978798/;20/3/2021;sustainable consumption and production;0.9676
34;Covid-19 and Digital Education: a Catalyst For Change?;10.1093/itnow/bwab005;While education still faces huge challenges, including the rapid shift to online learning, teaching and assessment, there may be some light at the end of the tunnel, writes Tom Crick MBE FBCS, Professor of Digital Education & Policy at Swansea University.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7928832/;16/2/2021;Professor of Digital Education & Policy;0.9492
35;Co-producing a social determinants of health questionnaire for an urban population in community child health.;10.1136/archdischild-2020-319940;We used quality improvement (QI) and co-production methodologies to explore how child health professionals can be helped to open up conversations about poverty and other social issues in a London community child health clinic between July and October 2019.;"https://doi.org/10.1136/archdischild-2020-319940; https://www.ncbi.nlm.nih.gov/pubmed/33658291/";3/3/2021;quality improvement;0.9855
36;Revisiting the Elusive Hepatitis C Vaccine;10.3390/vaccines9020114;The impactful discovery and subsequent characterisation of hepatitis C virus (HCV), an RNA virus of the flavivirus family, led to the awarding of the 2020 Nobel Prize in Physiology or Medicine to Harvey J. Alter, Michael Houghton and Charles M. Rice [...].;"https://www.ncbi.nlm.nih.gov/pubmed/33540927/; https://doi.org/10.3390/vaccines9020114";2/2/2021;hepatitis C virus;0.9773
37;3 Post-Coronavirus Opportunities for Students;10.1093/itnow/bwaa067;A global pandemic is a traumatic place to be. Among many other things, the fact that the university is physically closed may promote worries about the progress of your degree, writes Blay Whitby MBCS, Lecturer in Cognitive Science for the University of Sussex.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7454588/;12/8/2020;Lecturer in Cognitive Science;0.9329
38;Meet COVID‐19 challenges with enthusiasm, strong communication;10.1002/casr.30658;James Gilman graduated from the University of New Haven in 1993. After he'd worked for the Connecticut State Police for 22 years, he returned to his alma mater, this time as the Chief of Police. “It was very exciting to get back to where I started,” Gilman said.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276718/;17/5/2020;Chief of Police;0.9391
39;COVID-19 in a Patient with β-Thalassemia Major and Severe Pulmonary Arterial Hypertension.;10.1080/03630269.2020.1779082;We here report the successful recovery from coronavirus disease-19 (COVID-19) pneumonia in a patient with β-thalassemia major (β-TM) and severe pulmonary arterial hypertension (PAH), focusing on the patient's comorbidities, therapeutic course and drug interaction.;"https://doi.org/10.1080/03630269.2020.1779082; https://www.ncbi.nlm.nih.gov/pubmed/32552139/";18/6/2020;coronavirus disease-19;0.9253
40;Raised serum amylase in patients with COVID-19 may not be associated with pancreatitis;10.1093/bjs/znaa168;A high incidence of pancreatitis in COVID-19 has been reported. Although a high proportion of critically unwell patients with COVID-19 have raised serum amylase levels, this does not necessarily reflect acute pancreatitis or a clinically important pancreatic injury.;"https://doi.org/10.1093/bjs/znaa168; https://www.ncbi.nlm.nih.gov/pubmed/33793756/";4/2/2021;pancreatitis;0.9213
41;Acute ischemic stroke and COVID-19.;10.3949/ccjm.87a.ccc042;Ischemic stroke may be a presenting feature of COVID-19. Its etiology remains unclear, but severe COVID-19 disease might increase the risk of large-artery strokes. More evidence is needed to substantiate the current reports and provide insights for optimal management.;"https://doi.org/10.3949/ccjm.87a.ccc042; https://www.ncbi.nlm.nih.gov/pubmed/32493736/";3/6/2020;Ischemic stroke;0.9506
42;WhatsApp messenger as a teledermatology tool during coronavirus disease (COVID-19): From Bedside to Phone-side.;10.1111/ced.14227;The current coronavirus disease (COVID-19) has forced the shutdown of many non-essential services in most of the high-risk countries. Most of the consultations (except emergencies) in dermatology are deferred as a precautionary measure to prevent the spread of COVID-19.;"https://doi.org/10.1111/ced.14227; https://www.ncbi.nlm.nih.gov/pubmed/32243612/";3/4/2020;coronavirus disease;0.9673
43;Plasmapheresis treatment in COVID-19–related autoimmune meningoencephalitis: Case series;10.1016/j.bbi.2020.05.022;Severe SARS-CoV-2 (COVID-19) infection has the potential for a high mortality rate. In this paper, we report the results of plasmapheresis treatment in a series of severely ill patients with COVID-19–related autoimmune meningoencephalitis in the Intensive Care Unit ICU.;"https://www.ncbi.nlm.nih.gov/pubmed/32389697/; https://doi.org/10.1016/j.bbi.2020.05.022; https://www.sciencedirect.com/science/article/pii/S0889159120308035?v=s5; https://api.elsevier.com/content/article/pii/S0889159120308035";7/5/2020;Severe SARS-CoV-2;0.9848
44;Be aware of how COVID‐19 could impact international students;10.1002/emt.30652;The spread of COVID‐19 has impacted every aspect of college and university operations — and life in general. As you look ahead, consider ways the pandemic could impact your current and potential international students so you can implement plans to address the challenges.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267529/;27/4/2020;19;0.9352
45;A profile of a retrospective cohort of 22 patients with COVID-19 and active/treated tuberculosis;10.1183/13993003.03408-2020;Both tuberculosis and COVID-19 being communicable and prevalent diseases in India, the co-existence can lead to worse outcomes, as seen in this study, where there was high mortality among active as well as treated TB patients with COVID-19 co-infection https://bit.ly/3jHcGbQ;"https://doi.org/10.1183/13993003.03408-2020; https://www.ncbi.nlm.nih.gov/pubmed/33093125/";19/11/2020;co-infection;0.9615
46;Plasma-based COVID-19 treatments in low- and middle-income nations pose a high risk of an HIV epidemic;10.1038/s41541-020-0209-2;Convalescent plasma therapy holds promise as a transient treatment for COVID-19. Yet, blood products are important sources of HIV infection in low- and middle-income nations. Great care must be taken to prevent plasma therapy from fueling HIV epidemics in the developing world.;"https://www.ncbi.nlm.nih.gov/pubmed/32655899/; https://doi.org/10.1038/s41541-020-0209-2";6/7/2020;Convalescent plasma therapy;0.9239
47;Emergency Preparedness and COVID‐19: A Review of AWWA Policy Statements and Guidance;10.1002/opfl.1412;Unless a water or wastewater utility has had to deal with a serious disruption in the past, emergency preparedness may not have been a priority. However, with COVID‐19, every water and wastewater utility has now faced a prolonged emergency and can—and should—learn from it.;"https://www.ncbi.nlm.nih.gov/pubmed/32834217/; https://doi.org/10.1002/opfl.1412";4/8/2020;19;0.905
48;Afterword. Going Granular;10.1007/s11133-021-09486-z;The articles in this special issue demonstrate that ethnography is an unparalleled way of penetrating and making sense of what the state is and does, of how ordinary citizens think and feel about it and, in the process, perpetuate and/or challenge existing relationships with it.;"https://doi.org/10.1007/s11133-021-09486-z; https://www.ncbi.nlm.nih.gov/pubmed/34177006/";18/6/2021;ethnography;0.9853
49;CCD urges government support to treat disability population;10.1002/mhw.32296;The largest coalition of national organizations working together to advocate for federal public policy on behalf of children and adults with disabilities is asking the U.S. Department of Health and Human Services (HHS) to prevent discriminatory rationing of coronavirus treatment.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168402/;27/3/2020;Department of Health and Human Services;0.903
50;[Discussion on the autopsy and pathological sampling procedure for coronavirus pneumonia(COVID-19) victims].;10.3760/cma.j.cn112151-20200529-00421;对9例新型冠状病毒肺炎（COVID-19）罹难者捐献的遗体进行尸体解剖查验与病理诊断取材工作，获得大量感染罹难者体表表现、大体脏器特征和珍贵的病理检材，为获得病理形态学特征和分子病理学结果奠定基础。.;"https://doi.org/10.3760/cma.j.cn112151-20200529-00421; https://www.ncbi.nlm.nih.gov/pubmed/33677905/";8/3/2021;19;0.9604
51;Risk of hospitalization and risk of death for healthcare workers with COVID-19 in nine European Union/European Economic Area countries, January 2020 - January 2021;10.1101/2021.03.01.21252651;We assessed the impact of COVID-19 on healthcare workers (HCWs) from data on 2.9 million cases reported from nine countries in the EU/EEA. Compared to non-HCWs, HCWs had a higher adjusted risk of hospitalization (IRR 3.0 [95% CI 2.2-4.0]), but not death (IRR 0.9, 95% CI 0.4-2.0).;"http://medrxiv.org/cgi/content/short/2021.03.01.21252651v1?rss=1; https://doi.org/10.1101/2021.03.01.21252651";6/3/2021;healthcare workers;0.9621
52;Oral and Maxillofacial Dental Care Professionals in Critical Care during COVID-19 pandemic;10.1016/j.bjoms.2020.08.100;At the high of the Covid-19 pandemic there was a ‘call to arms’ across the Oral and Maxillofacial staff. This article reports on the extended role of the Departments Dental Care Professionals (DCPs) and the tremendous opportunity and value that temporary redeployment presented.;"https://www.ncbi.nlm.nih.gov/pubmed/33218695/; https://www.sciencedirect.com/science/article/pii/S0266435620304927?v=s5; https://doi.org/10.1016/j.bjoms.2020.08.100; https://api.elsevier.com/content/article/pii/S0266435620304927";25/8/2020;Departments Dental Care Professionals;0.9613
53;Unmasking the mask: the role of personal protective equipment for ophthalmologists caring for asymptomatic patients during the COVID-19 pandemic.;10.18240/ijo.2020.12.01;The use of personal protective equipment (PPE) for ophthalmologists caring for asymptomatic patients remains controversial. This commentary reviews the latest emerging evidence. This is paramountly important in shaping health policies in countries which is not currently recommended.;"https://doi.org/10.18240/ijo.2020.12.01; https://www.ncbi.nlm.nih.gov/pubmed/33344180/";1/1/2020;personal protective equipment;0.9724
54;Considerations on oral manifestations of COVID‐19;10.1002/jmv.26451;Since the first confirmed cases in the end of 2019 in the city of Wuhan, Hubei province in China, COVID‐19 has spread around the world, totaling, until July 25th, 2020, 15.785.641 confirmed cases and 640.016 deaths([1]). This article is protected by  . All rights reserved.;"https://www.ncbi.nlm.nih.gov/pubmed/32827318/; https://doi.org/10.1002/jmv.26451";22/8/2020;19;0.955
55;The Discomfort of Death Counts: Mourning through the Distorted Lens of Reported COVID-19 Death Data.;10.1016/j.patter.2020.100066;In data science, there's long been an acknowledgment of the way data can flatten and dehumanize the people they represent. This limitation becomes most obvious when considering the pure inability of such numbers and figures to truly capture the reality of lives lost in this pandemic.;"https://doi.org/10.1016/j.patter.2020.100066; https://www.sciencedirect.com/science/article/pii/S2666389920300866?v=s5; https://api.elsevier.com/content/article/pii/S2666389920300866; https://www.ncbi.nlm.nih.gov/pubmed/32835309/";10/7/2020;data science;0.9833
56;COVID-19 in Madrid: Leading Pandemic Control after being the Spanish Epicenter.;10.24875/aidsrev.m21000041;The arrival of coronavirus disease (COVID-19) in Europe exploded initially in North Italy and soon thereafter at several other major European cities, including Madrid. Indeed, Madrid was the epicenter of SARSCoV-2 infection in Spain, with a dramatic surge of cases since mid-March 2020.;"https://doi.org/10.24875/aidsrev.m21000041; https://www.ncbi.nlm.nih.gov/pubmed/34097375/";7/6/2021;coronavirus disease;0.9777
57;The Use of Procalcitonin as an Antimicrobial Stewardship Tool and a Predictor of Disease Severity in COVID-19;10.1101/2021.01.14.21249853;In our study, procalcitonin was associated with both antibiotic use and duration in patients with COVID-19, as well as established biochemical markers of COVID-19 disease severity and oxygen requirement, suggesting a potential role for procalcitonin in COVID-19 antimicrobial stewardship.;"https://doi.org/10.1101/2021.01.14.21249853; http://medrxiv.org/cgi/content/short/2021.01.14.21249853v1?rss=1";15/1/2021;antimicrobial stewardship;0.9009
58;The use of procalcitonin as an antimicrobial stewardship tool and a predictor of disease severity in coronavirus disease 2019 (COVID-19);10.1017/ice.2021.28;In our study, procalcitonin was associated with both antibiotic use and duration in patients with COVID-19, as well as established biochemical markers of COVID-19 disease severity and oxygen requirement, suggesting a potential role for procalcitonin in COVID-19 antimicrobial stewardship.;"https://www.ncbi.nlm.nih.gov/pubmed/33487208/; https://doi.org/10.1017/ice.2021.28";25/1/2021;antimicrobial stewardship;0.9009
59;COVID‐19 Related Oral Manifestations, Early Disease Features?;10.1111/odi.13516;"The outbreak of novel communicable diseases urges epidemiologic and clinical researchers to establish highly sensitive case definitions to track all true positive cases; therefore, there is emerging evidence on the oral lesions that may be indicative of the coronavirus disease (COVID-19).";"https://doi.org/10.1111/odi.13516; https://www.ncbi.nlm.nih.gov/pubmed/32603497/";30/6/2020;coronavirus disease;0.9558
60;Clinical skills education at the bed-side, web-side and lab-side.;10.1111/medu.14394;"Medical education is unlikely to ever be the same after the COVID-19 pandemic. Like other ""Black Swan"" events that have altered the course of history in unpredictable ways, this pandemic brought about widespread and dramatic changes in how clinical skills teaching is conceived and delivered.";"https://doi.org/10.1111/medu.14394; https://www.ncbi.nlm.nih.gov/pubmed/33047370/";12/10/2020;Medical education;0.9158
61;A case of cefditoren‐induced Acute Generalized Exanthematous Pustulosis during COVID‐19 pandemics. Severe Cutaneous Adverse Reactions (SCARs) are an issue;10.1111/jdv.16664;We read with interest the article by Recalcati et al. about the report of cutaneous manifestations in COVID‐19 patients. We would like to highlight that some potentially severe manifestations in these patients are not directly related to the coronavirus but to the medications administered.;"https://doi.org/10.1111/jdv.16664; https://www.ncbi.nlm.nih.gov/pubmed/32455478/";26/5/2020;cutaneous manifestations;0.9227
62;Neutralizing hepatitis B;10.1084/jem.20201261;Despite an effective vaccine, hepatitis B virus (HBV) remains a major public health threat since chronic infection leads to liver disease and cancer. Hehle et al. (https://doi.org/10.1084/jem.20200840) discovered human-derived antibodies that potently neutralize the virus. Will this help a cure?;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7537398/;13/8/2020;hepatitis B virus;0.9676
63;Pediatric Laryngeal Squamous Cell Carcinoma: Systematic Review and Pooled Analysis.;10.1111/coa.13719;Pediatric squamous cell carcinoma (SCC) of the larynx is rare, however recent data seems to support the notion that this pathology is increasing in incidence. Although this has been the case for several decades, treatment algorithms for this patient population remain identical to those of adults.;"https://doi.org/10.1111/coa.13719; https://www.ncbi.nlm.nih.gov/pubmed/33475248/";21/1/2021;Pediatric squamous cell carcinoma;0.9618
64;Comorbid acne inversa and Dowling-Degos disease due to a single NCSTN mutation - is there enough evidence?;10.1111/bjd.19539;"In their recent publication in the Br J Dermatol, Garcovich et al. suggested that a nonsense mutation in the NCSTN (Nicastrin) gene, R583*, would underlie comorbid familial acne inversa (FAI; synonym: familial hidradenitis suppurativa) and Dowling-Degos disease (DDD) in a 54-year old patient [1].";"https://doi.org/10.1111/bjd.19539; https://www.ncbi.nlm.nih.gov/pubmed/32894577/";7/9/2020;Dowling-Degos disease;0.972
65;Thoughts on What Chemists Can Contribute to Fighting SARS‐CoV‐2 – A Short Note on Hand Sanitizers, Drug Candidates and Outreach;10.1002/anie.202004721;The SARS‐CoV‐2 outbreak causing the respiratory disease COVID‐19 has left many chemists in academia without an obvious option to contribute to fighting the pandemic. Some of our recent experiences indicate that there are ways to overcome this dilemma. A three‐pronged approach is proposed.;"https://www.ncbi.nlm.nih.gov/pubmed/32329159/; https://doi.org/10.1002/anie.202004721";8/5/2020;respiratory disease;0.9153
